JobBot digest
Top Matches (90–100%)
Company	Title	Location	Score	Why	Apply
Airbnb	Staff Software Engineer, Payments Compliance	Remote - US	30	Heuristic overlap: 7/20 listed skills and 1/6 locations appeared in the posting.	https://careers.airbnb.com/positions/8130787?gh_jid=8130787
Canonical	Graduate Software Engineer, Open Source and Linux, Canonical Ubuntu	Home based - Worldwide	26	Heuristic overlap: 6/20 listed skills and 1/6 locations appeared in the posting.	https://job-boards.greenhouse.io/canonical/jobs/8142329
Canonical	Software Engineer - Secure Container Images	Home Based - Americas; Home Based - APAC; Home based - EMEA	26	Heuristic overlap: 6/20 listed skills and 1/6 locations appeared in the posting.	https://job-boards.greenhouse.io/canonical/jobs/8130859
Dropbox	Infrastructure Software Engineer, Metadata Core	Remote - Poland	26	Heuristic overlap: 6/20 listed skills and 1/6 locations appeared in the posting.	https://jobs.dropbox.com/listing/7958409?gh_jid=7958409
Stripe	Staff Engineer, Core Infrastructure	Bengaluru, India	20	Heuristic overlap: 3/20 listed skills and 2/6 locations appeared in the posting.	https://stripe.com/jobs/search?gh_jid=8070949
Good Fits (75–89%)
Company	Title	Score	Apply
Stripe	Business Partner Analyst	12	https://stripe.com/jobs/search?gh_jid=8079783
Stripe	Credit Risk Operations Team Lead	12	https://stripe.com/jobs/search?gh_jid=8047791
Stripe	Deal Pricing	12	https://stripe.com/jobs/search?gh_jid=7998031
Stripe	Deal Strategist	12	https://stripe.com/jobs/search?gh_jid=7958150
Stripe	Designer, Web, Presence & Platform	12	https://stripe.com/jobs/search?gh_jid=8130913
Stripe	Financial Analyst, Business F&S	12	https://stripe.com/jobs/search?gh_jid=8066264
Stripe	Forward Deployed AI Accelerator, Marketing	12	https://stripe.com/jobs/search?gh_jid=8055930
Stripe	F&S COE Manager	12	https://stripe.com/jobs/search?gh_jid=8131132
Stripe	Integrated Campaigns Manager - Stablecoins, Crypto, and Bridge	12	https://stripe.com/jobs/search?gh_jid=8067276
Stripe	Investigator	12	https://stripe.com/jobs/search?gh_jid=8172491
Stripe	IT Support Engineer	12	https://stripe.com/jobs/search?gh_jid=8096788
Stripe	Manager, Administrative Coordinator Program	12	https://stripe.com/jobs/search?gh_jid=8069155
Stripe	Partner Development Manager, Alliances and Channels	12	https://stripe.com/jobs/search?gh_jid=8165267
Stripe	Partner Development Manager, Strategic Partnerships	12	https://stripe.com/jobs/search?gh_jid=8094869
Stripe	People Project Manager	12	https://stripe.com/jobs/search?gh_jid=8039954
Stripe	Product Marketing Manager, Payments	12	https://stripe.com/jobs/search?gh_jid=8142770
Stripe	Program Manager, Executive Experiences	12	https://stripe.com/jobs/search?gh_jid=8175629
Stripe	Program Manager, GTM Planning	12	https://stripe.com/jobs/search?gh_jid=8147961
Stripe	Program Manager, GTM Strategic Programs	12	https://stripe.com/jobs/search?gh_jid=8042309
Stripe	Security Incident Response Engineer	12	https://stripe.com/jobs/search?gh_jid=8142302
Stripe	Software Engineer, Intern	12	https://stripe.com/jobs/search?gh_jid=8031833
Stripe	Specialist Solutions Architect, Data	12	https://stripe.com/jobs/search?gh_jid=8144262
Stripe	Strategic Business Performance, Central Strategy & Operations	12	https://stripe.com/jobs/search?gh_jid=8155580
Stripe	Strategy and Operations Lead, Deal Pricing	12	https://stripe.com/jobs/search?gh_jid=8044391
Stripe	U.S. Federal Government Relations Director	12	https://stripe.com/jobs/search?gh_jid=8070044
Stripe	Verifications Operations Associate	12	https://stripe.com/jobs/search?gh_jid=8022703
Airbnb	Growth Marketing Lead, SEM	12	https://careers.airbnb.com/positions/8070656?gh_jid=8070656
Airbnb	Lead, Advanced Analytics, Community Support	12	https://careers.airbnb.com/positions/8125981?gh_jid=8125981
Airbnb	Lead Localization Operations Program Manager	12	https://careers.airbnb.com/positions/8120458?gh_jid=8120458
Airbnb	Manager, Premium Support	12	https://careers.airbnb.com/positions/7862109?gh_jid=7862109
Airbnb	Regional Operations Manager, Premium Support	12	https://careers.airbnb.com/positions/8110189?gh_jid=8110189
Airbnb	Senior Engineering Manager, Media Foundation	12	https://careers.airbnb.com/positions/7968034?gh_jid=7968034
Airbnb	Senior Host Development Lead, Education	12	https://careers.airbnb.com/positions/8142636?gh_jid=8142636
Airbnb	Senior Manager, Platform Management (Payments)	12	https://careers.airbnb.com/positions/8175521?gh_jid=8175521
Airbnb	Senior Manager, Supply Enablement	12	https://careers.airbnb.com/positions/8125873?gh_jid=8125873
Airbnb	Senior Manager, Technical Program Management (Search & AI Foundations)	12	https://careers.airbnb.com/positions/8077683?gh_jid=8077683
Airbnb	Senior Specialist, Premium Support (English/Spanish)	12	https://careers.airbnb.com/positions/8132178?gh_jid=8132178
Airbnb	Senior Staff Software Engineer, Marketing Technology	12	https://careers.airbnb.com/positions/8095365?gh_jid=8095365
Airbnb	Staff Backend Engineer - Ads Platform	12	https://careers.airbnb.com/positions/8074897?gh_jid=8074897
Airbnb	Staff Machine Learning Engineer, Traffic Intelligence	12	https://careers.airbnb.com/positions/8129371?gh_jid=8129371
Airbnb	Staff Platform Manager, Conversational Products	12	https://careers.airbnb.com/positions/8136554?gh_jid=8136554
Airbnb	Staff Platform Manager - GTM & Ops Tooling	12	https://careers.airbnb.com/positions/8163100?gh_jid=8163100
Dropbox	Director, Sales Compensation	12	https://jobs.dropbox.com/listing/8121667?gh_jid=8121667
Dropbox	Director, Sales Compensation	12	https://jobs.dropbox.com/listing/8121672?gh_jid=8121672
Dropbox	Program Manager, Workforce Planning	12	https://jobs.dropbox.com/listing/8092225?gh_jid=8092225
Dropbox	Program Manager, Workforce Planning	12	https://jobs.dropbox.com/listing/8092224?gh_jid=8092224
Dropbox	Renewals Strategy Principal Program Manager	12	https://jobs.dropbox.com/listing/8094537?gh_jid=8094537
Dropbox	Senior Account Based Marketing Manager	12	https://jobs.dropbox.com/listing/8096471?gh_jid=8096471
Dropbox	Senior Account Based Marketing Manager	12	https://jobs.dropbox.com/listing/8096470?gh_jid=8096470
Dropbox	Senior Manager, Data Engineering	12	https://jobs.dropbox.com/listing/8090062?gh_jid=8090062
Dropbox	Senior Partner Marketing Manager, AI & ISV Ecosystem	12	https://jobs.dropbox.com/listing/8109600?gh_jid=8109600
Dropbox	Senior Partner Marketing Manager, AI & ISV Ecosystem	12	https://jobs.dropbox.com/listing/8109599?gh_jid=8109599
Dropbox	Software Engineering Intern (Summer 2027)	12	https://jobs.dropbox.com/listing/8106224?gh_jid=8106224
Dropbox	Staff Product Designer	12	https://jobs.dropbox.com/listing/8092712?gh_jid=8092712
Dropbox	Staff Product Designer	12	https://jobs.dropbox.com/listing/8092715?gh_jid=8092715
Databricks	Credit and Collections Manager	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8756138002
Databricks	Director, Alliance	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8688832002
Databricks	Manager, Delivery Solutions Architects - Emerging Enterprise	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8642263002
Databricks	Partner Enablement Operations Manager	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8644000002
Databricks	Senior Forward Deployed Engineer	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8629999002
Databricks	Senior Solutions Architect	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8661245002
Databricks	Senior Solutions Architect	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8652984002
Databricks	Solutions Architect	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8568031002
Databricks	Solutions Architect	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8633227002
Databricks	Solutions Architect	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8697993002
Databricks	Solutions Architect	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8697987002
Databricks	Solutions Architect - Communications, Media, Entertainment and Games	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8755482002
Databricks	Solutions Architect - Communications, Media, Entertainment and Games	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8755476002
Databricks	Solutions Architect - Manufacturing	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8661758002
Databricks	Solutions Architect - Public Sector (SLED)	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8633741002
Databricks	Solutions Architect - Strat Media	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8755462002
Databricks	Specialist Solutions Architect - AI/ML	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8697991002
Databricks	Specialist Solutions Architect - Data Engineering & Warehousing (Financial Services)	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8692962002
Databricks	Sr. Forward Deployed Engineer	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8739465002
Databricks	Sr. Forward Deployed Engineer (FDE) - Public Sector	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8657488002
Databricks	Sr. Forward Deployed Engineer (FDE) - Public Sector	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8423310002
Databricks	Sr. Forward Deployed Engineer (FDE) - Retail	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8647677002
Databricks	Sr. Forward Deployed Engineer - National Security	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8746374002
Databricks	Sr. Solutions Architect - Life Sciences	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8720995002
Databricks	Sr. Solutions Architect - Retail, Travel & Hospitality	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8607059002
Databricks	Sr. Technology Partner Director - AI Code-Gen & Apps	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8731212002
Databricks	Workplace Services Manager	12	https://databricks.com/company/careers/open-positions/job?gh_jid=8603390002
Discord	QA/DevOps Engineer	10	https://job-boards.greenhouse.io/discord/jobs/8703614002
Discord	Senior Full-Stack Software Engineer, Ads	10	https://job-boards.greenhouse.io/discord/jobs/8659978002
Discord	Senior Software Engineer, Application Security	10	https://job-boards.greenhouse.io/discord/jobs/8656854002
Discord	Staff Data Engineer - Data Infrastructure	10	https://job-boards.greenhouse.io/discord/jobs/8691572002
Discord	Staff Software Engineer - Consumer Revenue	10	https://job-boards.greenhouse.io/discord/jobs/8464570002
Stripe	Android BSP Engineer	10	https://stripe.com/jobs/search?gh_jid=8074125
Stripe	Data Analyst, Financial Data Engineering	10	https://stripe.com/jobs/search?gh_jid=8070572
Stripe	Engineering Manager, Infrastructure	10	https://stripe.com/jobs/search?gh_jid=8128496
Stripe	Firmware Engineer	10	https://stripe.com/jobs/search?gh_jid=8040825
Stripe	Forward Deployed Security Engineer	10	https://stripe.com/jobs/search?gh_jid=8181003
Stripe	Growth Marketing Manager, Greater China	10	https://stripe.com/jobs/search?gh_jid=8078168
Stripe	Head of Brand Studio Operations	10	https://stripe.com/jobs/search?gh_jid=8014382
Stripe	Head of Marketing, Southeast Asia	10	https://stripe.com/jobs/search?gh_jid=8059299
Stripe	Manager, Technical Account Management	10	https://stripe.com/jobs/search?gh_jid=8154304
Stripe	Manager, Technical Account Management	10	https://stripe.com/jobs/search?gh_jid=8152136
Stripe	Product Manager, E-Invoicing	10	https://stripe.com/jobs/search?gh_jid=8041655
Stripe	Security Engineer, Privy	10	https://stripe.com/jobs/search?gh_jid=8073092
Stripe	Security Incident Response Manager - Abuse Operations	10	https://stripe.com/jobs/search?gh_jid=8172493
Stripe	Software Quality Assurance Engineer	10	https://stripe.com/jobs/search?gh_jid=8153331
Stripe	Staff Software Engineer, Payments Intelligence	10	https://stripe.com/jobs/search?gh_jid=7986004
Stripe	Staff Software Engineer, Payment Systems	10	https://stripe.com/jobs/search?gh_jid=8172164
Stripe	Treasury Finance AI and Quantitative Analytics, Americas	10	https://stripe.com/jobs/search?gh_jid=8079132
Stripe	UK Public Sector Lead	10	https://stripe.com/jobs/search?gh_jid=8096121
Stripe	UX Research Manager, Payments	10	https://stripe.com/jobs/search?gh_jid=8165259
Twitch	Software Development Engineer, Security Platform	10	https://job-boards.greenhouse.io/twitch/jobs/8739185002
Twitch	Software Development Engineer, Security Platform	10	https://job-boards.greenhouse.io/twitch/jobs/8739060002
Twitch	Software Development Engineer, Security Platform	10	https://job-boards.greenhouse.io/twitch/jobs/8739196002
Airbnb	Compensation Partner	10	https://careers.airbnb.com/positions/8104102?gh_jid=8104102
Airbnb	Gestionnaire, Soutien Premium	10	https://careers.airbnb.com/positions/7862110?gh_jid=7862110
Airbnb	Programs Operations Lead, Growth Levers	10	https://careers.airbnb.com/positions/8103590?gh_jid=8103590
Airbnb	Staff Experience Designer, International	10	https://careers.airbnb.com/positions/8121074?gh_jid=8121074
Airbnb	Superviseur (-e), Soutien Premium Bilingue (français/anglais)	10	https://careers.airbnb.com/positions/8080626?gh_jid=8080626
Airbnb	Tech Lead Manager, Oracle ERP	10	https://careers.airbnb.com/positions/8102684?gh_jid=8102684
Databricks	Director, Americas Field Marketing at Databricks	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8636157002
Databricks	EMEA Sr. Marketing Campaigns Manager - Executive Audiences	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8702738002
Databricks	Field Marketing Manager, Mexico	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8641466002
Databricks	Infrastructure & Platform Senior Specialist Solutions Engineer	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8657553002
Databricks	Infrastructure & Platform Specialist Solutions Architect (SSA)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8642617002
Databricks	Lakebase Associate Director- Financial Services	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8571578002
Databricks	Lakebase Associate Director Specialist-MFG	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8569498002
Databricks	Lakebase Sales Specialist, Associate Director (Switzerland, Austria, Eastern Europe)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8569514002
Databricks	Manager, Forward Deployed Engineering	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8535419002
Databricks	Product Operations Manager	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8720202002
Databricks	Product Specialist - Gen AI (Sr. Specialist Solutions Architect)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8750467002
Databricks	Product Specialist - Gen AI (Sr. Specialist Solutions Architect)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8746260002
Databricks	Senior Fullstack Software Engineer - Enterprise Configuration & Administration, CustomerLake	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8715639002
Databricks	Senior Solutions Architect (EDW Enterprise Data Warehouse Migrations)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8704938002
Databricks	Senior Solutions Architect (EDW Enterprise Data Warehouse Migrations)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8720254002
Databricks	Senior Solutions Architect (EDW Enterprise Data Warehouse Migrations)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8720251002
Databricks	Senior Solutions Architect (EDW Enterprise Data Warehouse Migrations)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8720252002
Databricks	Senior Solutions Architect (EDW Enterprise Data Warehouse Migrations)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8720253002
Databricks	Solutions Architect (Presales, Data & AI, Digital Native Business)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8768958002
Databricks	Sr. Developer Advocate, AI and Machine Learning	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8716720002
Databricks	Sr. Developer Advocate, AI and Machine Learning	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8716192002
Databricks	Sr. Manager, Field Engineering	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8682223002
Databricks	Sr. Manager, Field Engineering UAE	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8764727002
Databricks	Sr. Manager, Field Engineering UAE	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8778929002
Databricks	Sr. Manager, Field Engineering UAE	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8778848002
Databricks	Sr. Manager, Finance PMO & Operations (Procure-To-Pay)	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8604596002
Databricks	Sr. Solutions Architect	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8769768002
Databricks	Sr. Solutions Architect	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8769764002
Databricks	Sr. Solutions Architect	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8769750002
Databricks	Sr. Solutions Architect	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8614977002
Databricks	Workplace Specialist	10	https://databricks.com/company/careers/open-positions/job?gh_jid=8628958002
Discord	Oracle ERP Fusion Functional Analyst	8	https://job-boards.greenhouse.io/discord/jobs/8627166002
Discord	Oracle ERP Fusion Technical Developer	8	https://job-boards.greenhouse.io/discord/jobs/8627078002
Discord	Senior Stock Administrator	8	https://job-boards.greenhouse.io/discord/jobs/8757366002
Stripe	Account Executive, Enterprise (Grower)	8	https://stripe.com/jobs/search?gh_jid=8107136
Stripe	Account Executive, Existing Business (Central Eastern Europe)	8	https://stripe.com/jobs/search?gh_jid=8119697
Stripe	Account Executive, Hunter (Central Eastern Europe)	8	https://stripe.com/jobs/search?gh_jid=8130052
Stripe	Communities Partner Development Manager, SaaS Platforms	8	https://stripe.com/jobs/search?gh_jid=8138000
Stripe	Communities Partner Development Manager, SaaS Platforms	8	https://stripe.com/jobs/search?gh_jid=8103952
Stripe	Contracting Operations Specialist	8	https://stripe.com/jobs/search?gh_jid=7994945
Stripe	Data Excellence Manager	8	https://stripe.com/jobs/search?gh_jid=8106026
Stripe	Engineering Manager, Machine Learning - Fraud Detection	8	https://stripe.com/jobs/search?gh_jid=8069506
Stripe	Fraud Operations Associate (Mandarin Speaking)	8	https://stripe.com/jobs/search?gh_jid=8076652
Stripe	Fraud Operations Team Lead	8	https://stripe.com/jobs/search?gh_jid=8063857
Stripe	Head of AEO & SEO	8	https://stripe.com/jobs/search?gh_jid=8128634
Stripe	Head of Marketing Operations	8	https://stripe.com/jobs/search?gh_jid=8065643
Stripe	Head of Self-Serve Paid Media	8	https://stripe.com/jobs/search?gh_jid=8068521
Stripe	Integration Engineer, Metronome	8	https://stripe.com/jobs/search?gh_jid=8080454
Stripe	Legal Operations Team Lead	8	https://stripe.com/jobs/search?gh_jid=8111799
Stripe	Operations Associate, Apprenticeship	8	https://stripe.com/jobs/search?gh_jid=8131339
Stripe	Operations Program Manager, Tax	8	https://stripe.com/jobs/search?gh_jid=8109426
Stripe	Partner Development Manager, Strategic Payment Partnerships	8	https://stripe.com/jobs/search?gh_jid=8155164
Stripe	Processing cost Analyst	8	https://stripe.com/jobs/search?gh_jid=8177636
Stripe	Product Counsel	8	https://stripe.com/jobs/search?gh_jid=8089069
Stripe	Product Marketing Manager, Startup Segment	8	
